0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000
0.000000	0.000000	0.000000	0.000158	0.999941	1.000000	1.000000	1.000000
0.000000	0.000000	0.000000	0.032548	0.993905	1.000000	1.000000	1.000000
0.000000	0.000000	0.000001	0.070480	0.971335	1.000000	1.000000	1.000000
0.000000	0.000000	0.000015	0.108361	0.955985	0.999998	1.000000	1.000000
0.000000	0.000000	0.000572	0.169376	0.909761	0.999861	1.000000	1.000000
0.000000	0.000000	0.000068	0.107115	0.908676	0.999953	1.000000	1.000000
0.000000	0.000009	0.006608	0.254710	0.876658	0.998543	0.999999	1.000000
0.000000	0.000003	0.003795	0.211675	0.857361	0.998347	0.999999	1.000000
0.000000	0.000007	0.004609	0.191311	0.804469	0.995180	0.999992	1.000000
0.000000	0.000251	0.022662	0.300206	0.829964	0.992489	1.000000	1.000000
0.000157	0.005027	0.061293	0.303610	0.697044	0.995000	0.999998	1.000000
0.000004	0.000253	0.006870	0.073466	0.717887	0.995388	0.999998	1.000000
0.000001	0.000068	0.002477	0.211882	0.886888	0.999359	1.000000	1.000000
0.000000	0.000001	0.001496	0.146090	0.805610	0.997257	0.999999	1.000000
0.000000	0.000087	0.012663	0.235795	0.787161	0.989642	0.999936	1.000000
0.000111	0.004532	0.063329	0.328100	0.737965	0.957223	0.997457	0.999949
0.000135	0.005118	0.067668	0.337605	0.743886	0.958163	0.997477	0.999947
0.000114	0.004109	0.054892	0.289337	0.687408	0.937283	0.995005	0.999853
0.000013	0.001463	0.040266	0.301608	0.760543	0.973559	0.999221	0.999994
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
